t,fx,fy,fz,tx,ty,tz,tau_raw,tau_screw,tau_perp_mag,u,pA,pB
1786016685.2222018,-6.5396904945373535,-3.652817964553833,-111.81558227539062,-0.011378208175301552,0.8424800634384155,0.1631404012441635,-0.011378208175301552,-0.5593009028583765,0.8581302044615976,-0.2611799501837828,0.0,10.447198007351313
1786016685.2712889,-6.343837738037109,-3.452756881713867,-111.71199798583984,-0.015541339293122292,0.8338200449943542,0.1663953810930252,-0.015541339293122292,-0.5334548715502023,0.8502607190053414,-0.24792557515394992,0.0,9.917023006157997
1786016685.3213573,-6.77329683303833,-3.4766788482666016,-111.843505859375,-0.020575735718011856,0.8261567950248718,0.16582651436328888,-0.020575735718011856,-0.542077562958002,0.8426348454886293,-0.2523474681835908,0.0,10.093898727343632
1786016685.3713853,-6.559686660766602,-3.65285587310791,-111.74441528320312,-0.014075727201998234,0.8248088359832764,0.16870269179344177,-0.014075727201998234,-0.5620041081681847,0.8418849173933693,-0.2625662093170178,0.0,10.502648372680712
1786016685.4212866,-6.745996952056885,-3.614330291748047,-111.85360717773438,-0.014942854642868042,0.8304152488708496,0.15906129777431488,-0.014942854642868042,-0.5570923984050751,0.8455116687585597,-0.2600473837974744,0.0,10.401895351898975
1786016685.4715402,-6.523355960845947,-3.3090803623199463,-111.59229278564453,-0.02909122407436371,0.8336999416351318,0.16692721843719482,-0.02909122407436371,-0.5254532784223556,0.8502471928431173,-0.24382219406274647,0.0,9.75288776250986
1786016685.5213141,-6.592796802520752,-3.437432289123535,-111.86592864990234,-0.020273718982934952,0.841127872467041,0.16573700308799744,-0.020273718982934952,-0.5358885623514652,0.8573009110187167,-0.2491736217187001,0.0,9.966944868748005
1786016685.5712962,-6.631407737731934,-3.4925708770751953,-111.77965545654297,-0.016895394772291183,0.8306617736816406,0.1648435741662979,-0.016895394772291183,-0.5407810263335705,0.8468603109131098,-0.2516825776069592,0.0,10.06730310427837
1786016685.6212885,-6.902713775634766,-3.449796199798584,-111.77119445800781,-0.02081810124218464,0.8330951929092407,0.1648942232131958,-0.02081810124218464,-0.5382875312119723,0.849257149100064,-0.2504038621599858,0.0,10.016154486399431
1786016685.6713333,-6.727078437805176,-3.2859370708465576,-111.62530517578125,-0.03611481934785843,0.8301107883453369,0.16401518881320953,-0.03611481934785843,-0.529005379974842,0.8461589112505697,-0.24564378460248307,0.0,9.825751384099323
1786016685.7212744,-6.89285945892334,-3.49637508392334,-111.86036682128906,-0.009892146103084087,0.8295037150382996,0.1648644059896469,-0.009892146103084087,-0.5343484086915851,0.8457284940361532,-0.248383799329018,0.0,9.93535197316072
1786016685.771308,-6.752957344055176,-3.4907376766204834,-111.84211730957031,-0.020789358764886856,0.82283616065979,0.16193145513534546,-0.020789358764886856,-0.5444000102579594,0.8386185923598368,-0.25353846679895353,0.0,10.141538671958141
1786016685.8213658,-6.937737464904785,-3.2900819778442383,-111.77819061279297,-0.027134163305163383,0.8285490274429321,0.1612684577703476,-0.027134163305163383,-0.520646459981799,0.8440977469157557,-0.24135715896502516,0.0,9.654286358601006
1786016685.871355,-6.792308807373047,-3.2942283153533936,-111.82792663574219,-0.02673393115401268,0.8291856646537781,0.16568505764007568,-0.02673393115401268,-0.5208681784570217,0.8455769656231908,-0.24147086074719062,0.0,9.658834429887625
1786016685.9212918,-6.822126388549805,-3.434380292892456,-111.8133544921875,-0.023985493928194046,0.8391698598861694,0.16747164726257324,-0.023985493928194046,-0.5391425378620625,0.8557177141897981,-0.25084232710875,0.0,10.033693084349999
1786016685.9712813,-6.626295566558838,-3.3531975746154785,-111.82148742675781,-0.017467964440584183,0.8323462605476379,0.1654769480228424,-0.017467964440584183,-0.520447600632906,0.8486359159112881,-0.24125517981174666,0.0,9.650207192469866
1786016686.0213141,-6.803063869476318,-3.450273275375366,-111.77855682373047,-0.01620955765247345,0.8491427302360535,0.16585944592952728,-0.01620955765247345,-0.5337505489587784,0.8651894197901341,-0.24807720459424534,0.0,9.923088183769813
1786016686.0713184,-6.617499828338623,-3.5970258712768555,-111.81021881103516,-0.01508702989667654,0.8372764587402344,0.16832619905471802,-0.01508702989667654,-0.5546409105882049,0.8540290262331813,-0.25879021055805373,0.0,10.35160842232215
1786016686.1214223,-6.698843002319336,-3.534404993057251,-111.77544403076172,-0.020144861191511154,0.8399280905723572,0.1658312976360321,-0.020144861191511154,-0.5503056101500988,0.8561420539888086,-0.25656697956415325,0.0,10.26267918256613
1786016686.1713042,-6.633543491363525,-3.4376325607299805,-111.7952651977539,-0.02096441760659218,0.8384093046188354,0.16677477955818176,-0.02096441760659218,-0.5366093017160892,0.8548356503843996,-0.24954323164927653,0.0,9.981729265971062
1786016686.2212844,-6.944761276245117,-3.4269590377807617,-111.84292602539062,-0.019168220460414886,0.8285812139511108,0.1640596240758896,-0.019168220460414886,-0.5332120761275291,0.8446670281031566,-0.24780106468078417,0.0,9.912042587231367
1786016686.2712846,-6.673254489898682,-3.2660486698150635,-111.81696319580078,-0.03338202089071274,0.8289296627044678,0.16620682179927826,-0.03338202089071274,-0.5232893213629722,0.8454283490183895,-0.24271247249383193,0.0,9.708498899753277
1786016686.3212771,-6.849625110626221,-3.5593388080596924,-111.82709503173828,-0.01691434718668461,0.8346400260925293,0.1640087515115738,-0.01691434718668461,-0.5508151683956385,0.8506014599847117,-0.2568282914849428,0.0,10.273131659397713
1786016686.3713055,-6.600494384765625,-3.5203351974487305,-111.74851989746094,-0.008038223721086979,0.8359959125518799,0.16629444062709808,-0.008038223721086979,-0.5360885033383965,0.852374921491083,-0.24927615555815208,0.0,9.971046222326084
1786016686.4213028,-6.762298583984375,-3.4399619102478027,-111.82637786865234,-0.015632042661309242,0.8372811079025269,0.16546162962913513,-0.015632042661309242,-0.5316263291984796,0.8534736109160095,-0.24698786112742546,0.0,9.87951444509702
1786016686.4712996,-6.761590957641602,-3.313392162322998,-111.75865936279297,-0.026434021070599556,0.8156217336654663,0.16324730217456818,-0.026434021070599556,-0.5234428454190492,0.8317983494181361,-0.2427912027789996,0.0,9.711648111159985
1786016686.5212886,-6.641561508178711,-3.229302167892456,-111.8314208984375,-0.0230422206223011,0.8334985971450806,0.16392900049686432,-0.0230422206223011,-0.5074375458061695,0.849466084459361,-0.23458335682367668,0.0,9.383334272947067
1786016686.5712676,-6.2643961906433105,-3.3807873725891113,-111.75286102294922,-0.017811069265007973,0.8354133367538452,0.16598252952098846,-0.017811069265007973,-0.5249291751533747,0.8517427095856938,-0.24355342315557676,0.0,9.74213692622307
1786016686.6212718,-6.683594703674316,-3.7223291397094727,-111.79412078857422,-0.012827525846660137,0.8242924213409424,0.16709518432617188,-0.012827525846660137,-0.571176896803081,0.8410581409778465,-0.26727020348875946,0.0,10.690808139550379
1786016686.6712854,-6.770028591156006,-3.3284568786621094,-111.71644592285156,-0.02322988770902157,0.8121060132980347,0.1602620631456375,-0.02322988770902157,-0.522498419508338,0.827768147320567,-0.2423068817991477,0.0,9.692275271965908
