"# inflation to 30.0 kPa; RESULT,INFLATE,2,29.47"
time_s,target_kPa,actual_kPa
0.000,0.00,0.91
0.100,0.00,0.91
0.200,0.00,0.91
0.300,0.00,0.91
0.400,0.00,0.91
0.500,0.00,0.91
0.600,0.00,0.91
0.700,0.00,0.91
0.800,0.00,0.91
0.900,0.00,0.91
1.000,0.00,0.91
1.100,0.00,0.91
1.200,0.00,0.91
1.300,0.00,0.91
1.400,0.00,0.91
1.500,0.00,0.91
1.600,0.00,0.91
1.700,0.00,0.91
1.800,0.00,0.91
1.900,0.00,0.91
2.000,0.00,0.91
2.100,0.00,0.91
2.200,0.00,0.91
2.300,0.00,0.91
2.400,0.00,0.91
2.500,0.00,0.91
2.600,0.00,0.91
2.700,0.00,0.91
2.800,0.00,0.91
2.900,0.00,0.91
3.000,0.00,0.91
3.100,0.00,0.91
3.200,0.00,0.91
3.300,0.00,0.91
3.400,0.00,0.91
3.500,0.00,0.91
3.600,0.00,0.91
3.700,0.00,0.91
3.800,0.00,1.01
3.900,0.00,0.91
4.000,0.00,0.91
4.100,0.00,0.91
4.200,0.00,0.91
4.300,0.00,0.91
4.400,0.00,0.91
4.500,0.00,0.91
4.600,0.00,0.91
4.700,0.00,0.91
4.800,0.00,0.91
4.900,0.00,0.91
5.000,0.00,0.91
5.100,0.00,0.91
5.200,0.00,0.91
5.300,0.00,0.91
5.400,0.00,0.91
5.500,0.00,0.91
5.600,0.00,0.91
5.700,0.00,0.91
5.800,0.00,0.91
5.900,0.00,0.91
6.000,0.00,1.01
6.100,0.00,0.91
6.200,0.00,0.00
6.300,0.00,0.00
6.400,0.00,0.58
6.500,0.00,0.80
6.600,0.00,0.58
6.700,0.00,0.00
6.800,0.00,0.00
6.900,0.00,0.80
7.000,0.00,0.69
7.100,0.00,0.80
7.200,0.00,0.80
7.300,0.00,0.00
7.400,0.00,0.00
7.500,0.00,0.00
7.600,0.00,0.00
7.700,0.00,0.00
7.800,0.00,0.00
7.900,0.00,0.00
8.000,0.00,0.00
8.100,0.00,0.00
8.200,0.00,0.00
8.300,0.00,0.00
8.400,0.00,0.00
8.500,0.00,0.00
8.600,0.00,0.00
8.700,0.00,0.00
8.800,0.00,0.00
8.900,0.00,0.00
9.000,0.00,0.00
9.100,0.00,0.00
9.200,0.00,0.00
9.300,0.00,0.00
9.400,0.00,0.00
9.500,0.00,0.00
9.600,0.00,0.00
9.700,0.00,0.00
9.800,0.00,0.00
9.900,0.00,0.00
10.000,0.00,0.00
10.100,0.00,0.00
10.200,0.00,0.00
10.300,0.00,0.00
10.400,0.00,0.00
10.500,0.00,0.00
10.600,0.00,0.00
10.700,0.00,0.00
10.800,0.00,0.00
10.900,0.00,0.00
11.000,0.00,0.00
11.100,0.00,0.00
11.200,0.00,0.00
11.300,0.00,0.00
11.400,0.00,0.00
11.500,0.00,0.00
11.600,0.00,0.00
11.700,0.00,0.00
11.800,0.00,0.00
11.900,0.00,0.00
12.000,0.00,0.00
12.100,0.00,0.00
12.200,0.00,0.00
12.300,0.00,0.00
12.400,0.00,0.00
12.500,0.00,0.00
12.600,0.00,0.00
12.700,0.00,0.00
12.800,0.00,0.00
12.900,0.00,0.00
13.000,0.00,0.00
13.100,0.00,0.00
13.200,0.00,0.00
13.300,0.00,0.00
13.400,0.00,0.00
13.500,0.00,0.00
13.600,0.00,0.00
13.700,0.00,0.00
13.800,0.00,0.00
13.900,0.00,0.00
14.000,0.00,0.00
14.100,0.00,0.00
14.200,0.00,0.00
14.300,0.00,0.00
14.400,0.00,0.00
14.500,0.00,0.00
14.600,0.00,0.00
14.700,0.00,0.00
14.800,0.00,0.00
14.900,0.00,0.00
15.000,0.00,0.00
15.100,0.00,0.00
15.200,0.00,0.00
15.300,0.00,0.00
15.400,0.00,0.00
15.500,0.00,0.00
15.600,0.00,0.00
15.700,0.00,0.00
15.800,0.00,0.00
15.900,0.00,0.00
16.000,0.00,0.00
16.100,0.00,0.00
16.200,0.00,0.00
16.300,0.00,0.00
16.400,0.00,0.00
16.500,0.00,0.00
16.600,0.00,0.00
16.700,0.00,0.00
16.800,0.00,0.00
16.900,0.00,0.00
17.000,0.00,0.00
17.100,0.00,0.00
17.200,0.00,0.00
17.300,0.00,0.00
17.400,0.00,0.00
17.500,0.00,0.00
17.600,0.00,0.00
17.700,0.00,0.00
17.800,0.00,0.00
17.900,0.00,0.00
18.000,0.00,0.00
18.100,0.00,0.00
18.200,0.00,0.00
18.300,0.00,0.00
18.400,0.00,0.00
18.500,0.00,0.00
18.600,0.00,0.00
18.700,0.00,0.00
18.800,0.00,0.00
18.900,0.00,0.00
19.000,0.00,0.00
19.100,0.00,0.00
19.200,0.00,0.00
19.300,0.00,0.00
19.400,0.00,0.00
19.500,0.00,0.00
19.600,0.00,0.00
19.700,0.00,0.00
19.800,0.00,0.00
19.900,0.00,0.00
20.000,0.00,0.00
20.100,0.00,0.00
20.200,0.00,0.00
20.300,0.00,0.00
20.400,0.00,0.00
20.500,0.00,0.00
20.600,0.00,0.00
20.700,0.00,0.00
20.800,0.00,0.00
20.900,0.00,0.00
21.000,0.00,0.00
21.100,0.00,0.00
21.200,0.00,0.00
21.300,0.00,0.00
21.400,0.00,0.00
21.500,0.00,0.04
21.600,0.00,0.36
21.700,0.00,0.47
21.800,0.00,0.00
21.900,0.00,0.00
22.000,0.00,0.00
22.100,0.00,0.00
22.200,0.00,0.00
22.300,0.00,0.00
22.400,0.00,0.00
22.500,0.00,0.15
22.600,0.00,0.91
22.700,0.00,0.69
22.800,0.00,0.69
22.900,0.00,0.69
23.000,0.00,0.80
23.100,0.00,0.80
23.200,0.00,0.80
23.300,0.00,0.80
23.400,0.00,0.91
23.500,0.00,0.80
23.600,0.00,0.80
23.700,0.00,0.80
23.800,0.00,0.80
23.900,0.00,0.80
24.000,0.00,0.80
24.051,30.00,0.80
24.071,30.00,1.99
24.091,30.00,4.49
24.111,30.00,7.42
24.131,30.00,8.73
24.151,30.00,10.03
24.171,30.00,11.88
24.191,30.00,12.53
24.211,30.00,13.61
24.231,30.00,14.27
24.251,30.00,15.46
24.271,30.00,15.79
24.291,30.00,16.44
24.311,30.00,17.42
24.331,30.00,17.96
24.351,30.00,19.37
24.371,30.00,20.24
24.391,30.00,20.78
24.411,30.00,21.54
24.431,30.00,21.54
24.451,30.00,21.98
24.471,30.00,22.95
24.491,30.00,23.17
24.511,30.00,23.50
24.531,30.00,24.47
24.551,30.00,25.67
24.571,30.00,25.45
24.591,30.00,25.67
24.611,30.00,26.86
24.631,30.00,26.65
24.651,30.00,27.19
24.671,30.00,28.49
24.691,30.00,28.28
24.711,30.00,28.17
24.811,30.00,28.82
24.911,30.00,28.38
25.011,30.00,28.49
