time_s,target_kPa,actual_kPa
0.000,30.00,28.57
0.020,30.00,28.57
0.040,30.00,28.57
0.060,30.00,28.57
0.080,30.00,26.29
0.100,30.00,26.29
0.120,30.00,26.29
0.140,30.00,26.29
0.160,30.00,26.29
0.180,30.00,26.29
0.200,30.00,26.29
0.220,30.00,24.33
0.240,30.00,24.33
0.260,30.00,24.33
0.280,30.00,24.33
0.300,30.00,24.33
0.320,30.00,23.03
0.340,30.00,23.14
0.360,30.00,23.14
0.380,30.00,23.14
0.400,30.00,23.14
0.420,30.00,21.83
0.440,30.00,21.83
0.460,30.00,21.83
0.480,30.00,21.83
0.500,30.00,21.83
0.520,30.00,20.75
0.540,30.00,20.86
0.560,30.00,20.86
0.580,30.00,20.86
0.600,30.00,20.86
0.620,30.00,19.77
0.640,30.00,19.77
0.660,30.00,19.77
0.680,30.00,19.77
0.700,30.00,19.77
0.720,30.00,18.79
0.740,30.00,18.79
0.760,30.00,18.79
0.780,30.00,18.79
0.800,30.00,17.81
0.820,30.00,17.81
0.840,30.00,17.81
0.860,30.00,17.81
0.880,30.00,17.05
0.900,30.00,17.05
0.920,30.00,17.05
0.940,30.00,17.05
0.960,30.00,16.08
0.980,30.00,16.08
1.000,30.00,16.08
1.020,30.00,15.32
1.040,30.00,15.32
1.060,30.00,15.32
1.080,30.00,15.32
1.100,30.00,14.45
1.120,30.00,14.45
1.140,30.00,14.45
1.160,30.00,13.69
1.180,30.00,13.69
1.200,30.00,13.69
1.220,30.00,13.04
1.240,30.00,13.04
1.260,30.00,13.04
1.280,30.00,12.28
1.300,30.00,12.28
1.320,30.00,12.28
1.340,30.00,11.52
1.360,30.00,11.52
1.380,30.00,11.52
1.400,30.00,10.97
1.420,30.00,10.97
1.440,30.00,10.32
1.460,30.00,10.32
1.480,30.00,10.32
1.500,30.00,9.45
1.520,30.00,9.45
1.540,30.00,8.91
1.560,30.00,8.91
1.580,30.00,8.26
1.600,30.00,8.26
1.620,30.00,7.82
1.640,30.00,7.82
1.660,30.00,7.28
1.680,30.00,7.28
1.700,30.00,6.84
1.720,30.00,6.84
1.740,30.00,6.30
1.760,30.00,5.87
1.780,30.00,5.87
1.800,30.00,5.54
1.820,30.00,5.11
1.840,30.00,5.11
1.860,30.00,4.67
1.880,30.00,4.24
1.900,30.00,3.91
1.920,30.00,3.59
1.940,30.00,3.59
1.960,30.00,3.26
1.980,30.00,2.83
2.000,30.00,2.28
