"# inflation to 40.0 kPa; RESULT,INFLATE,3887,38.51"
time_s,target_kPa,actual_kPa
0.000,0.00,0.17
0.100,0.00,0.28
0.200,0.00,0.17
0.300,0.00,0.28
0.400,0.00,0.28
0.500,0.00,0.28
0.600,0.00,0.28
0.700,0.00,0.28
0.800,0.00,0.39
0.900,0.00,0.28
1.000,0.00,0.28
1.100,0.00,0.28
1.200,0.00,0.28
1.300,0.00,0.39
1.400,0.00,0.28
1.500,0.00,0.28
1.600,0.00,0.39
1.700,0.00,0.39
1.800,0.00,0.39
1.900,0.00,0.39
2.000,0.00,0.39
2.100,0.00,0.39
2.200,0.00,0.39
2.300,0.00,0.39
2.400,0.00,0.39
2.500,0.00,0.39
2.600,0.00,0.39
2.700,0.00,0.39
2.800,0.00,0.39
2.900,0.00,0.39
3.000,0.00,0.39
3.100,0.00,0.39
3.200,0.00,0.39
3.300,0.00,0.39
3.400,0.00,0.39
3.500,0.00,0.39
3.600,0.00,0.39
3.700,0.00,0.39
3.800,0.00,0.39
3.900,0.00,0.39
4.000,0.00,0.39
4.100,0.00,0.50
4.200,0.00,0.39
4.300,0.00,0.39
4.400,0.00,0.39
4.500,0.00,0.39
4.600,0.00,0.39
4.700,0.00,0.39
4.800,0.00,0.39
4.900,0.00,0.39
5.000,0.00,0.39
5.100,0.00,0.39
5.200,0.00,0.50
5.300,0.00,0.50
5.400,0.00,0.50
5.500,0.00,0.50
5.600,0.00,0.50
5.700,0.00,0.39
5.800,0.00,0.39
5.900,0.00,0.39
6.000,0.00,0.50
6.100,0.00,0.39
6.200,0.00,0.50
6.300,0.00,0.50
6.400,0.00,0.50
6.500,0.00,0.39
6.600,0.00,0.50
6.700,0.00,0.50
6.800,0.00,0.50
6.900,0.00,0.39
7.000,0.00,0.50
7.100,0.00,0.50
7.200,0.00,0.50
7.300,0.00,0.50
7.400,0.00,0.50
7.500,0.00,0.50
7.520,40.00,0.50
7.540,40.00,0.50
7.560,40.00,0.50
7.580,40.00,0.50
7.600,40.00,0.50
7.620,40.00,0.50
7.640,40.00,0.50
7.660,40.00,0.39
7.680,40.00,0.50
7.700,40.00,0.50
7.720,40.00,0.50
7.740,40.00,0.50
7.760,40.00,0.50
7.780,40.00,0.50
7.800,40.00,0.50
7.820,40.00,0.50
7.840,40.00,0.50
7.860,40.00,0.50
7.880,40.00,0.50
7.900,40.00,0.50
7.920,40.00,0.50
7.940,40.00,0.50
7.960,40.00,0.50
7.980,40.00,0.50
8.000,40.00,0.50
8.020,40.00,0.50
8.040,40.00,0.50
8.060,40.00,0.50
8.080,40.00,0.50
8.100,40.00,0.50
8.120,40.00,0.50
8.140,40.00,0.50
8.160,40.00,0.50
8.180,40.00,0.50
8.200,40.00,0.50
8.220,40.00,0.50
8.240,40.00,0.50
8.260,40.00,0.50
8.280,40.00,0.50
8.300,40.00,0.50
8.320,40.00,0.50
8.340,40.00,0.50
8.360,40.00,0.50
8.380,40.00,0.50
8.400,40.00,0.50
