"# inflation to 30.0 kPa; RESULT,INFLATE,2109,28.57"
time_s,target_kPa,actual_kPa
0.000,0.00,0.00
0.100,0.00,0.00
0.200,0.00,0.00
0.300,0.00,0.00
0.400,0.00,0.00
0.500,0.00,0.00
0.600,0.00,0.00
0.700,0.00,0.00
0.800,0.00,0.00
0.900,0.00,0.00
1.000,0.00,0.00
1.100,0.00,0.00
1.200,0.00,0.00
1.300,0.00,0.00
1.400,0.00,0.00
1.500,0.00,0.00
1.600,0.00,0.00
1.700,0.00,0.00
1.800,0.00,0.00
1.900,0.00,0.00
2.000,0.00,0.00
2.100,0.00,0.00
2.200,0.00,0.00
2.300,0.00,0.00
2.400,0.00,0.00
2.500,0.00,0.00
2.600,0.00,0.00
2.700,0.00,0.00
2.800,0.00,0.00
2.900,0.00,0.00
3.000,0.00,0.00
3.100,0.00,0.00
3.200,0.00,0.00
3.300,0.00,0.00
3.400,0.00,0.00
3.500,0.00,0.00
3.600,0.00,0.00
3.700,0.00,0.00
3.800,0.00,0.00
3.900,0.00,0.00
4.000,0.00,0.00
4.100,0.00,0.00
4.200,0.00,0.00
4.300,0.00,0.00
4.400,0.00,0.00
4.500,0.00,0.00
4.600,0.00,0.00
4.700,0.00,0.00
4.800,0.00,0.00
4.900,0.00,0.00
5.000,0.00,0.00
5.100,0.00,0.00
5.200,0.00,0.00
5.300,0.00,0.00
5.400,0.00,0.00
5.500,0.00,0.00
5.600,0.00,0.00
5.700,0.00,0.00
5.800,0.00,0.00
5.900,0.00,0.00
6.000,0.00,0.00
6.100,0.00,0.00
6.165,30.00,0.00
6.185,30.00,0.00
6.205,30.00,0.00
6.225,30.00,0.00
6.245,30.00,0.00
6.265,30.00,0.00
6.285,30.00,0.00
6.305,30.00,0.00
6.325,30.00,0.00
6.345,30.00,0.00
6.365,30.00,0.00
6.385,30.00,0.00
6.405,30.00,0.00
6.425,30.00,0.00
6.445,30.00,0.00
6.465,30.00,0.00
6.485,30.00,0.00
6.505,30.00,0.00
6.525,30.00,0.00
6.545,30.00,0.00
6.565,30.00,0.00
6.585,30.00,0.00
6.605,30.00,0.00
6.625,30.00,0.00
6.645,30.00,0.00
6.665,30.00,0.00
6.685,30.00,0.00
6.705,30.00,0.00
6.725,30.00,0.00
6.745,30.00,0.00
6.765,30.00,0.00
6.785,30.00,0.00
6.805,30.00,0.00
6.825,30.00,0.00
6.845,30.00,0.00
6.865,30.00,0.00
6.885,30.00,0.00
6.905,30.00,0.00
6.925,30.00,0.00
6.945,30.00,0.00
6.965,30.00,0.00
6.985,30.00,0.00
7.005,30.00,0.00
7.025,30.00,0.00
7.045,30.00,0.00
7.065,30.00,0.00
7.085,30.00,0.00
7.105,30.00,0.00
7.125,30.00,0.00
7.145,30.00,0.00
7.165,30.00,0.00
7.185,30.00,0.00
7.205,30.00,0.44
7.225,30.00,1.20
7.245,30.00,2.93
7.265,30.00,2.28
7.285,30.00,2.61
7.305,30.00,4.02
7.325,30.00,2.61
7.345,30.00,4.56
7.365,30.00,3.04
7.385,30.00,5.11
7.405,30.00,3.59
7.425,30.00,5.54
7.445,30.00,4.46
7.465,30.00,4.89
7.485,30.00,6.19
7.505,30.00,5.00
7.525,30.00,5.54
7.545,30.00,7.17
7.565,30.00,6.30
7.585,30.00,5.76
7.605,30.00,6.74
7.625,30.00,8.04
7.645,30.00,7.61
7.665,30.00,7.17
7.685,30.00,7.17
7.705,30.00,7.82
7.725,30.00,8.15
7.745,30.00,8.91
7.765,30.00,10.10
7.785,30.00,10.32
7.805,30.00,10.32
7.825,30.00,10.43
7.845,30.00,10.21
7.865,30.00,10.54
7.885,30.00,11.19
7.905,30.00,11.95
7.925,30.00,12.38
7.945,30.00,11.52
7.965,30.00,11.52
7.985,30.00,11.62
8.005,30.00,11.84
8.025,30.00,12.60
8.045,30.00,13.69
8.065,30.00,12.93
8.085,30.00,12.82
8.105,30.00,14.45
8.125,30.00,13.47
8.145,30.00,13.58
8.165,30.00,15.10
8.185,30.00,14.66
8.205,30.00,14.88
8.225,30.00,14.99
8.245,30.00,14.88
8.265,30.00,16.51
8.285,30.00,15.43
8.305,30.00,16.84
8.325,30.00,16.19
8.345,30.00,16.62
8.365,30.00,17.27
8.385,30.00,17.27
8.405,30.00,18.68
8.425,30.00,17.38
8.445,30.00,17.81
8.465,30.00,19.01
8.485,30.00,18.25
8.505,30.00,18.79
8.525,30.00,20.31
8.545,30.00,19.55
8.565,30.00,19.23
8.585,30.00,19.44
8.605,30.00,20.53
8.625,30.00,20.42
8.645,30.00,20.10
8.665,30.00,20.64
8.685,30.00,20.64
8.705,30.00,21.07
8.725,30.00,22.16
8.745,30.00,21.94
8.765,30.00,21.62
8.785,30.00,21.72
8.805,30.00,21.94
8.825,30.00,22.38
8.845,30.00,22.70
8.865,30.00,22.81
8.885,30.00,22.92
8.905,30.00,23.03
8.925,30.00,23.35
8.945,30.00,23.46
8.965,30.00,23.90
8.985,30.00,24.33
9.005,30.00,24.33
9.025,30.00,24.44
9.045,30.00,24.66
9.065,30.00,24.77
9.085,30.00,25.31
9.105,30.00,25.63
9.125,30.00,25.74
9.145,30.00,25.74
9.165,30.00,25.96
9.185,30.00,26.40
9.205,30.00,27.16
9.225,30.00,28.02
9.245,30.00,27.81
9.265,30.00,26.94
9.365,30.00,27.81
9.465,30.00,28.46
9.565,30.00,28.35
