"# deflation 150/60; RESULT,DEFLATE,3271,1.93"
time_s,target_kPa,actual_kPa
0.000,0.00,0.00
0.100,0.00,0.00
0.200,0.00,0.00
0.300,0.00,0.00
0.400,0.00,0.00
0.500,0.00,0.00
0.600,0.00,0.00
0.700,0.00,0.00
0.800,0.00,0.00
0.900,0.00,0.00
1.000,0.00,0.00
1.100,0.00,0.00
1.200,0.00,0.00
1.300,0.00,0.00
1.400,0.00,0.00
1.500,0.00,0.00
1.600,0.00,0.00
1.700,0.00,0.00
1.800,0.00,0.00
1.900,0.00,0.00
2.000,0.00,0.00
2.100,0.00,0.00
2.200,0.00,0.00
2.300,0.00,0.00
2.400,0.00,0.00
2.500,0.00,0.00
2.600,0.00,0.00
2.700,0.00,0.00
2.800,0.00,0.00
2.900,0.00,0.00
3.000,0.00,0.00
3.100,0.00,0.00
3.200,0.00,0.00
3.300,0.00,0.00
3.400,0.00,0.00
3.500,0.00,0.00
3.600,0.00,0.00
3.700,0.00,0.00
3.800,0.00,0.00
3.900,0.00,0.00
4.000,0.00,0.00
4.100,0.00,0.00
4.200,0.00,0.00
4.300,0.00,0.00
4.400,0.00,0.00
4.500,0.00,0.00
4.600,0.00,0.00
4.700,0.00,0.00
4.800,0.00,0.00
4.900,0.00,0.00
5.000,0.00,0.00
5.100,0.00,0.00
5.200,0.00,0.00
5.300,0.00,0.00
5.400,0.00,0.00
5.500,0.00,0.00
5.600,0.00,0.00
5.700,0.00,0.00
5.800,0.00,0.00
5.900,0.00,0.00
6.000,0.00,0.00
6.100,0.00,0.00
6.200,0.00,0.00
6.300,0.00,0.00
6.400,0.00,0.00
6.500,0.00,0.00
6.600,0.00,0.00
6.700,0.00,0.00
6.800,0.00,0.00
6.900,0.00,0.00
7.000,0.00,0.00
7.100,0.00,0.00
7.200,0.00,0.00
7.300,0.00,0.00
7.400,0.00,0.00
7.500,0.00,0.00
7.600,0.00,0.00
7.700,0.00,0.00
7.800,0.00,0.00
7.900,0.00,0.00
8.000,0.00,0.00
8.100,0.00,0.00
8.200,0.00,0.00
8.300,0.00,0.00
8.400,0.00,0.00
8.500,0.00,0.00
8.600,0.00,0.00
8.700,0.00,0.00
8.800,0.00,0.00
8.900,0.00,0.00
9.000,0.00,0.00
9.100,0.00,0.00
9.200,0.00,0.00
9.300,0.00,0.00
9.400,0.00,0.00
9.500,0.00,0.00
9.600,0.00,0.00
9.700,0.00,0.00
9.800,0.00,0.00
9.900,0.00,0.00
10.000,0.00,0.00
10.100,0.00,0.00
10.200,0.00,0.00
10.300,0.00,0.00
10.400,0.00,0.00
10.500,0.00,0.00
10.600,0.00,0.00
10.700,0.00,0.00
10.800,0.00,0.00
10.900,0.00,0.00
11.000,0.00,0.00
11.100,0.00,0.00
11.120,30.00,1.06
11.140,30.00,2.48
11.160,30.00,3.67
11.180,30.00,4.76
11.200,30.00,5.63
11.220,30.00,5.41
11.240,30.00,6.06
11.260,30.00,5.95
11.280,30.00,6.39
11.300,30.00,6.50
11.320,30.00,7.04
11.340,30.00,7.15
11.360,30.00,7.69
11.380,30.00,7.47
11.400,30.00,8.56
11.420,30.00,8.12
11.440,30.00,8.67
11.460,30.00,9.43
11.480,30.00,9.10
11.500,30.00,9.54
11.520,30.00,9.97
11.540,30.00,10.73
11.560,30.00,10.30
11.580,30.00,10.73
11.600,30.00,11.38
11.620,30.00,11.71
11.640,30.00,12.58
11.660,30.00,12.79
11.680,30.00,12.79
11.700,30.00,12.79
11.720,30.00,13.23
11.740,30.00,13.45
11.760,30.00,13.77
11.780,30.00,14.10
11.800,30.00,14.42
11.820,30.00,14.86
11.840,30.00,15.51
11.860,30.00,16.16
11.880,30.00,16.60
11.900,30.00,16.49
11.920,30.00,16.49
11.940,30.00,16.81
11.960,30.00,16.81
11.980,30.00,17.57
12.000,30.00,18.44
12.020,30.00,17.90
12.040,30.00,18.01
12.060,30.00,18.33
12.080,30.00,19.53
12.100,30.00,18.99
12.120,30.00,19.09
12.140,30.00,19.85
12.160,30.00,19.42
12.180,30.00,19.85
12.200,30.00,20.07
12.220,30.00,20.40
12.240,30.00,20.40
12.260,30.00,21.16
12.280,30.00,20.72
12.300,30.00,21.05
12.320,30.00,22.24
12.340,30.00,21.59
12.360,30.00,22.24
12.380,30.00,21.92
12.400,30.00,21.81
12.420,30.00,21.92
12.440,30.00,22.14
12.460,30.00,22.46
12.480,30.00,22.57
12.500,30.00,23.55
12.520,30.00,22.90
12.540,30.00,23.98
12.560,30.00,23.11
12.580,30.00,24.09
12.600,30.00,23.44
12.620,30.00,24.20
12.640,30.00,23.66
12.660,30.00,23.87
12.680,30.00,23.76
12.700,30.00,23.66
12.720,30.00,24.09
12.740,30.00,24.42
12.760,30.00,25.07
12.780,30.00,24.85
12.800,30.00,25.39
12.820,30.00,24.74
12.840,30.00,25.29
12.860,30.00,24.96
12.880,30.00,24.96
12.900,30.00,25.39
12.920,30.00,25.50
12.940,30.00,26.37
12.960,30.00,25.50
12.980,30.00,26.05
13.000,30.00,25.61
13.020,30.00,25.72
13.040,30.00,26.26
13.060,30.00,26.15
