time_s,target_kPa,actual_kPa
0.000,30.00,17.90
0.020,30.00,22.46
0.040,30.00,22.79
0.060,30.00,22.79
0.080,30.00,22.79
0.100,30.00,22.90
0.120,30.00,22.90
0.140,30.00,22.90
0.160,30.00,17.90
0.180,30.00,20.29
0.200,30.00,20.94
0.220,30.00,20.94
0.240,30.00,21.05
0.260,30.00,21.05
0.280,30.00,21.05
0.300,30.00,21.16
0.320,30.00,16.60
0.340,30.00,18.99
0.360,30.00,19.20
0.380,30.00,19.31
0.400,30.00,19.42
0.420,30.00,19.42
0.440,30.00,19.42
0.460,30.00,10.73
0.480,30.00,17.03
0.500,30.00,17.68
0.520,30.00,17.79
0.540,30.00,17.90
0.560,30.00,17.90
0.580,30.00,18.01
0.600,30.00,11.71
0.620,30.00,15.40
0.640,30.00,16.27
0.660,30.00,16.49
0.680,30.00,16.49
0.700,30.00,16.60
0.720,30.00,16.60
0.740,30.00,9.10
0.760,30.00,14.32
0.780,30.00,15.08
0.800,30.00,15.18
0.820,30.00,15.18
0.840,30.00,15.29
0.860,30.00,15.29
0.880,30.00,9.64
0.900,30.00,13.55
0.920,30.00,13.99
0.940,30.00,14.10
0.960,30.00,14.10
0.980,30.00,14.10
1.000,30.00,14.21
1.020,30.00,11.17
1.040,30.00,12.69
1.060,30.00,12.90
1.080,30.00,13.01
1.100,30.00,13.12
1.120,30.00,13.12
1.140,30.00,8.34
1.160,30.00,11.49
1.180,30.00,11.93
1.200,30.00,12.03
1.220,30.00,12.03
1.240,30.00,12.14
1.260,30.00,5.95
1.280,30.00,10.30
1.300,30.00,10.95
1.320,30.00,11.06
1.340,30.00,11.17
1.360,30.00,11.17
1.380,30.00,9.97
1.400,30.00,8.56
1.420,30.00,9.86
1.440,30.00,9.97
1.460,30.00,10.08
1.480,30.00,10.19
1.500,30.00,5.73
1.520,30.00,8.45
1.540,30.00,9.21
1.560,30.00,9.32
1.580,30.00,9.32
1.600,30.00,9.32
1.620,30.00,3.67
1.640,30.00,7.91
1.660,30.00,8.45
1.680,30.00,8.56
1.700,30.00,8.56
1.720,30.00,8.67
1.740,30.00,5.19
1.760,30.00,7.47
1.780,30.00,7.80
1.800,30.00,7.91
1.820,30.00,7.91
1.840,30.00,8.02
1.860,30.00,5.52
1.880,30.00,7.04
1.900,30.00,7.26
1.920,30.00,7.26
1.940,30.00,7.36
1.960,30.00,4.32
