"# inflation to 40.0 kPa, auto-dump; RESULT,INFLATE,2213,38.56"
time_s,target_kPa,actual_kPa
0.000,0.00,0.55
0.100,0.00,0.55
0.200,0.00,0.55
0.300,0.00,0.44
0.400,0.00,0.44
0.500,0.00,0.44
0.600,0.00,0.44
0.700,0.00,0.44
0.800,0.00,0.44
0.900,0.00,0.33
1.000,0.00,0.33
1.100,0.00,0.44
1.200,0.00,0.33
1.300,0.00,0.44
1.400,0.00,0.44
1.500,0.00,0.33
1.600,0.00,0.44
1.700,0.00,0.44
1.800,0.00,0.33
1.900,0.00,0.33
2.000,0.00,0.33
2.100,0.00,0.33
2.200,0.00,0.33
2.300,0.00,0.33
2.400,0.00,0.33
2.500,0.00,0.33
2.600,0.00,0.33
2.700,0.00,0.33
2.800,0.00,0.33
2.900,0.00,0.33
3.000,0.00,0.33
3.100,0.00,0.33
3.200,0.00,0.33
3.300,0.00,0.33
3.400,0.00,0.33
3.500,0.00,0.33
3.600,0.00,0.33
3.700,0.00,0.33
3.800,0.00,0.33
3.900,0.00,0.33
4.000,0.00,0.33
4.100,0.00,0.33
4.200,0.00,0.33
4.300,0.00,0.33
4.400,0.00,0.33
4.500,0.00,0.33
4.600,0.00,0.33
4.700,0.00,0.33
4.800,0.00,0.33
4.900,0.00,0.33
5.000,0.00,0.33
5.100,0.00,0.33
5.200,0.00,0.33
5.300,0.00,0.33
5.400,0.00,0.33
5.500,0.00,0.33
5.600,0.00,0.22
5.700,0.00,0.33
5.800,0.00,0.33
5.900,0.00,0.33
6.000,0.00,0.33
6.100,0.00,0.33
6.200,0.00,0.33
6.300,0.00,0.33
6.400,0.00,0.33
6.500,0.00,0.33
6.600,0.00,0.33
6.700,0.00,0.33
6.800,0.00,0.33
6.900,0.00,0.33
7.000,0.00,0.33
7.100,0.00,0.33
7.200,0.00,0.33
7.300,0.00,0.33
7.400,0.00,0.33
7.500,0.00,0.33
7.600,0.00,0.33
7.700,0.00,0.33
7.800,0.00,0.33
7.900,0.00,0.33
8.000,0.00,0.33
8.100,0.00,0.33
8.200,0.00,0.33
8.300,0.00,0.33
8.400,0.00,0.33
8.500,0.00,0.33
8.600,0.00,0.33
8.700,0.00,0.33
8.800,0.00,0.22
8.900,0.00,0.33
9.000,0.00,0.33
9.100,0.00,0.33
9.200,0.00,0.33
9.300,0.00,0.33
9.400,0.00,0.33
9.500,0.00,0.22
9.600,0.00,0.33
9.700,0.00,0.33
9.800,0.00,0.33
9.900,0.00,0.33
10.000,0.00,0.33
10.100,0.00,0.22
10.200,0.00,0.33
10.300,0.00,0.33
10.400,0.00,0.33
10.500,0.00,0.33
10.600,0.00,0.33
10.700,0.00,0.33
10.800,0.00,0.22
10.900,0.00,0.33
11.000,0.00,0.33
11.100,0.00,0.33
11.200,0.00,0.22
11.300,0.00,0.22
11.400,0.00,0.22
11.500,0.00,0.33
11.600,0.00,0.33
11.700,0.00,0.22
11.800,0.00,0.22
11.900,0.00,0.22
12.000,0.00,0.33
12.100,0.00,0.22
12.200,0.00,0.22
12.300,0.00,0.22
12.400,0.00,0.22
12.500,0.00,0.22
12.600,0.00,0.22
12.700,0.00,0.22
12.800,0.00,0.33
12.900,0.00,0.33
13.000,0.00,0.22
13.100,0.00,0.22
13.200,0.00,0.33
13.300,0.00,0.33
13.400,0.00,0.22
13.500,0.00,0.33
13.600,0.00,0.22
13.700,0.00,0.22
13.800,0.00,0.22
13.900,0.00,0.22
14.000,0.00,0.22
14.100,0.00,0.22
14.200,0.00,0.22
14.300,0.00,0.22
14.400,0.00,0.22
14.500,0.00,0.22
14.600,0.00,0.22
14.700,0.00,0.22
14.800,0.00,0.22
14.900,0.00,0.22
15.000,0.00,0.12
15.100,0.00,0.22
15.200,0.00,0.12
15.300,0.00,0.22
15.400,0.00,0.12
15.500,0.00,0.12
15.600,0.00,0.22
15.700,0.00,0.12
15.800,0.00,0.22
15.900,0.00,0.22
16.000,0.00,0.22
16.100,0.00,0.12
16.200,0.00,0.22
16.300,0.00,0.22
16.400,0.00,0.22
16.500,0.00,0.22
16.600,0.00,0.22
16.700,0.00,0.22
16.800,0.00,0.22
16.900,0.00,0.22
17.000,0.00,0.22
17.100,0.00,0.22
17.200,0.00,0.22
17.300,0.00,0.12
17.400,0.00,0.12
17.500,0.00,0.22
17.600,0.00,0.22
17.700,0.00,0.22
17.800,0.00,0.12
17.900,0.00,0.12
18.000,0.00,0.22
18.100,0.00,0.22
18.200,0.00,0.12
18.300,0.00,0.22
18.400,0.00,0.12
18.500,0.00,0.12
18.600,0.00,0.22
18.700,0.00,0.12
18.800,0.00,0.12
18.900,0.00,0.12
19.000,0.00,0.22
19.100,0.00,0.22
19.200,0.00,0.22
19.300,0.00,0.22
19.400,0.00,0.22
19.500,0.00,0.22
19.600,0.00,0.12
19.700,0.00,0.12
19.800,0.00,0.22
19.900,0.00,0.22
20.000,0.00,0.22
20.100,0.00,0.22
20.200,0.00,0.22
20.300,0.00,0.12
20.400,0.00,0.22
20.500,0.00,0.12
20.600,0.00,0.12
20.700,0.00,0.12
20.800,0.00,0.22
20.900,0.00,0.22
20.981,40.00,0.22
21.001,40.00,0.22
21.021,40.00,0.22
21.041,40.00,0.22
21.061,40.00,0.12
21.081,40.00,0.12
21.101,40.00,0.22
21.121,40.00,0.22
21.141,40.00,0.22
21.161,40.00,0.22
21.181,40.00,0.12
21.201,40.00,0.12
21.221,40.00,0.12
21.241,40.00,0.22
21.261,40.00,0.22
21.281,40.00,0.22
21.301,40.00,0.12
21.321,40.00,0.22
21.341,40.00,0.22
21.361,40.00,0.12
21.381,40.00,0.22
21.401,40.00,0.12
21.421,40.00,0.12
21.441,40.00,0.22
21.461,40.00,0.22
21.481,40.00,0.22
21.501,40.00,0.22
21.521,40.00,0.22
21.541,40.00,0.12
21.561,40.00,0.12
21.581,40.00,0.12
21.601,40.00,0.12
21.621,40.00,0.22
21.641,40.00,0.12
21.661,40.00,0.22
21.681,40.00,0.12
21.701,40.00,0.12
21.721,40.00,0.22
21.741,40.00,0.22
21.761,40.00,0.22
21.781,40.00,0.12
21.801,40.00,0.22
21.821,40.00,0.22
21.841,40.00,0.12
21.861,40.00,0.12
21.881,40.00,0.12
21.901,40.00,0.12
21.921,40.00,0.12
21.941,40.00,0.12
21.961,40.00,0.12
21.981,40.00,0.12
22.001,40.00,0.88
22.021,40.00,1.85
22.041,40.00,3.48
22.061,40.00,3.48
22.081,40.00,5.44
22.101,40.00,5.87
22.121,40.00,6.41
22.141,40.00,7.83
22.161,40.00,8.80
22.181,40.00,9.78
22.201,40.00,10.65
22.221,40.00,11.19
22.241,40.00,12.61
22.261,40.00,13.37
22.281,40.00,13.47
22.301,40.00,15.43
22.321,40.00,15.32
22.341,40.00,16.73
22.361,40.00,16.41
22.381,40.00,17.28
22.401,40.00,18.69
22.421,40.00,18.80
22.441,40.00,18.69
22.461,40.00,19.23
22.481,40.00,20.10
22.501,40.00,20.53
22.521,40.00,20.97
22.541,40.00,21.40
22.561,40.00,22.05
22.581,40.00,22.49
22.601,40.00,22.60
22.621,40.00,23.47
22.641,40.00,24.44
22.661,40.00,24.12
22.681,40.00,24.55
22.701,40.00,24.88
22.721,40.00,25.75
22.741,40.00,26.62
22.761,40.00,26.07
22.781,40.00,26.29
22.801,40.00,27.81
22.821,40.00,27.05
22.841,40.00,27.27
22.861,40.00,28.35
22.881,40.00,28.14
22.901,40.00,28.90
22.921,40.00,28.46
22.941,40.00,28.79
22.961,40.00,29.11
22.981,40.00,29.33
23.001,40.00,30.85
23.021,40.00,29.98
23.041,40.00,30.74
23.061,40.00,30.31
23.081,40.00,30.85
23.101,40.00,30.74
23.121,40.00,30.85
23.141,40.00,31.29
23.161,40.00,31.40
23.181,40.00,32.05
23.201,40.00,31.72
23.221,40.00,32.59
23.241,40.00,32.26
23.261,40.00,33.35
23.281,40.00,32.59
23.301,40.00,33.89
23.321,40.00,33.13
23.341,40.00,34.00
23.361,40.00,33.24
23.381,40.00,34.55
23.401,40.00,33.79
23.421,40.00,34.98
23.441,40.00,34.00
23.461,40.00,35.09
23.481,40.00,34.22
