trial,origin,T_max,T_min,mse,duration_s,p_start_meas,samples
1,random,173.76195433750541,39.67653851402574,18.16190808636021,0.78,17.46,40
2,random,48.604440026600884,11.8180399081382,14.542796236566426,0.2,11.06,11
3,random,210.78675023205722,110.4031135005494,3.1127694923523763,1.6,18.01,81
4,random,167.3935129111078,90.24462170823982,3.822346070337318,1.8,22.24,91
5,random,154.16124820773882,112.85796661665451,2.095027885023978,2.16,22.35,109
6,random,211.32924636552175,10.30123501871629,13.975749261417675,1.06,22.68,54
7,BO,177.57542343818986,110.50598389781278,2.3681802808636347,2.22,22.9,112
8,BO,107.52077830284887,104.52879986481685,4.022699122807021,1.86,22.57,94
9,BO,249.58456030440308,118.54319283867572,6.677630532212881,2.36,22.57,119
10,BO,126.27337549660362,119.56244337731873,2.877841263481656,2.12,22.68,107
11,BO,169.9720660439724,119.5971807938545,3.147079739547903,2.32,22.68,117
12,BO,248.85568615263776,84.8646356037921,2.1427545589752905,2.06,22.68,104
13,BO,220.51753890236535,92.53327668776556,2.112513742690057,2.08,22.57,105
14,BO,245.83685890781825,93.9760723608176,2.261201827232439,1.98,22.79,100
15,BO,198.24818385827643,99.70721284502072,1.2446809293996228,1.96,22.79,99
16,BO,69.55445462659434,69.5077992299565,14.356031958356102,1.2,22.46,61
17,BO,248.16700927722795,62.38863358074841,2.058560647726581,1.82,22.68,92
18,BO,249.69225195891045,43.94394581364156,2.9056347477690765,1.54,22.79,78
19,BO,190.4448656187961,98.77022351655066,2.4142103411643276,1.9,22.79,96
20,BO,205.26099050052278,99.53926768476134,1.4303579473481849,1.98,22.68,100
21,BO,138.37525067952063,102.43030272915149,3.797895067686516,1.84,22.79,93
22,BO,201.11495973988875,102.85374941647456,2.4980043556122107,2.22,22.79,112
23,BO,202.18002329812188,92.67768836720272,2.1367432070661074,1.96,22.46,99
24,BO,202.23452294794652,97.32557102548876,2.445963141706629,2.18,22.68,110
25,BO,208.2610498167889,76.07156917040788,1.7959872124081822,1.86,22.9,94
