"# inflation to 30.0 kPa; RESULT,INFLATE,2058,28.57"
time_s,target_kPa,actual_kPa
0.000,0.00,0.11
0.100,0.00,0.11
0.200,0.00,0.11
0.300,0.00,0.11
0.400,0.00,0.11
0.500,0.00,0.11
0.600,0.00,0.11
0.700,0.00,0.11
0.800,0.00,0.11
0.900,0.00,0.11
1.000,0.00,0.11
1.100,0.00,0.11
1.200,0.00,0.11
1.300,0.00,0.11
1.400,0.00,0.11
1.500,0.00,0.11
1.600,0.00,0.11
1.700,0.00,0.00
1.800,0.00,0.00
1.900,0.00,0.00
2.000,0.00,0.00
2.100,0.00,0.11
2.200,0.00,0.11
2.300,0.00,0.11
2.400,0.00,0.11
2.500,0.00,0.11
2.600,0.00,0.11
2.700,0.00,0.11
2.800,0.00,0.00
2.900,0.00,0.11
3.000,0.00,0.00
3.100,0.00,0.00
3.200,0.00,0.11
3.300,0.00,0.00
3.400,0.00,0.00
3.500,0.00,0.00
3.552,30.00,0.00
3.572,30.00,0.00
3.592,30.00,0.00
3.612,30.00,0.00
3.632,30.00,0.00
3.652,30.00,0.11
3.672,30.00,0.00
3.692,30.00,0.00
3.712,30.00,0.00
3.732,30.00,0.00
3.752,30.00,0.00
3.772,30.00,0.00
3.792,30.00,0.00
3.812,30.00,0.00
3.832,30.00,0.00
3.852,30.00,0.00
3.872,30.00,0.00
3.892,30.00,0.00
3.912,30.00,0.00
3.932,30.00,0.00
3.952,30.00,0.11
3.972,30.00,0.00
3.992,30.00,0.11
4.012,30.00,0.11
4.032,30.00,0.00
4.052,30.00,0.11
4.072,30.00,0.11
4.092,30.00,0.11
4.112,30.00,0.11
4.132,30.00,0.00
4.152,30.00,0.11
4.172,30.00,0.00
4.192,30.00,0.00
4.212,30.00,0.00
4.232,30.00,0.00
4.252,30.00,0.11
4.272,30.00,0.00
4.292,30.00,0.00
4.312,30.00,0.00
4.332,30.00,0.11
4.352,30.00,0.00
4.372,30.00,0.00
4.392,30.00,0.00
4.412,30.00,0.00
4.432,30.00,0.11
4.452,30.00,0.00
4.472,30.00,0.00
4.492,30.00,0.00
4.512,30.00,0.00
4.532,30.00,0.00
4.552,30.00,0.00
4.572,30.00,0.55
4.592,30.00,1.09
4.612,30.00,1.74
4.632,30.00,3.04
4.652,30.00,2.39
4.672,30.00,4.46
4.692,30.00,3.15
4.712,30.00,4.35
4.732,30.00,3.80
4.752,30.00,4.78
4.772,30.00,4.24
4.792,30.00,5.87
4.812,30.00,4.56
4.832,30.00,5.98
4.852,30.00,5.65
4.872,30.00,5.43
4.892,30.00,7.17
4.912,30.00,6.74
4.932,30.00,6.19
4.952,30.00,7.06
4.972,30.00,8.26
4.992,30.00,7.50
5.012,30.00,7.17
5.032,30.00,8.04
5.052,30.00,9.23
5.072,30.00,9.78
5.092,30.00,9.56
5.112,30.00,9.34
5.132,30.00,9.45
5.152,30.00,9.67
5.172,30.00,9.78
5.192,30.00,10.10
5.212,30.00,10.43
5.232,30.00,10.86
5.252,30.00,11.30
5.272,30.00,11.95
5.292,30.00,12.71
5.312,30.00,13.36
5.332,30.00,12.28
5.352,30.00,12.71
5.372,30.00,12.49
5.392,30.00,13.47
5.412,30.00,14.88
5.432,30.00,13.69
5.452,30.00,13.69
5.472,30.00,14.45
5.492,30.00,15.97
5.512,30.00,14.99
5.532,30.00,15.10
5.552,30.00,16.84
5.572,30.00,15.75
5.592,30.00,16.62
5.612,30.00,16.19
5.632,30.00,16.51
5.652,30.00,16.84
5.672,30.00,16.73
5.692,30.00,18.47
5.712,30.00,17.16
5.732,30.00,18.79
5.752,30.00,17.60
5.772,30.00,19.01
5.792,30.00,18.47
5.812,30.00,18.68
5.832,30.00,19.34
5.852,30.00,19.44
5.872,30.00,20.86
5.892,30.00,19.55
5.912,30.00,19.88
5.932,30.00,21.07
5.952,30.00,20.20
5.972,30.00,20.42
5.992,30.00,21.72
6.012,30.00,20.86
6.032,30.00,21.29
6.052,30.00,23.03
6.072,30.00,21.72
6.092,30.00,22.05
6.112,30.00,22.16
6.132,30.00,23.79
6.152,30.00,22.81
6.172,30.00,22.81
6.192,30.00,23.14
6.212,30.00,23.68
6.232,30.00,24.44
6.252,30.00,24.01
6.272,30.00,23.68
6.292,30.00,24.33
6.312,30.00,24.22
6.332,30.00,24.98
6.352,30.00,26.18
6.372,30.00,25.53
6.392,30.00,25.09
6.412,30.00,24.87
6.432,30.00,25.20
6.452,30.00,25.74
6.472,30.00,25.96
6.492,30.00,25.85
6.512,30.00,25.96
6.532,30.00,26.18
6.552,30.00,26.83
6.572,30.00,27.37
6.592,30.00,28.13
6.692,30.00,27.70
6.792,30.00,28.24
6.892,30.00,28.68
