trial,origin,T_max,T_min,mse,duration_s,p_start_meas,samples
1,random,173.76195433750541,39.67653851402574,14.79952282422452,6.94,28.35,348
2,random,48.604440026600884,11.8180399081382,51.22039173088328,1.3,28.35,66
3,random,210.78675023205722,110.4031135005494,42.35433917291243,5.46,28.24,274
4,random,167.3935129111078,90.24462170823982,26.656210991172447,4.46,28.13,224
5,random,154.16124820773882,112.85796661665451,27.179758562079158,4.84,28.35,243
6,random,211.32924636552175,10.30123501871629,30.63049752966843,2.9,28.35,146
7,BO,158.29642192813645,52.114867053449984,14.761920085032308,3.32,28.35,167
8,BO,185.83791942471103,51.193602148973575,28.664341411486816,3.8,28.35,191
9,BO,148.53756052180165,38.73068070882343,12.268694807632643,3.02,28.35,152
10,BO,114.99948645318926,69.578704658107,8.79808644508097,3.46,28.24,174
11,BO,88.95653302413106,87.20066359670773,5.2189510368481375,3.26,27.92,164
12,BO,77.51689190122886,75.99399110181638,4.01382949105391,3.06,28.57,154
13,BO,90.82050498065274,77.33672691213432,5.294152080470884,3.36,28.24,169
14,BO,66.22620686748253,65.82521220936232,5.66210008907363,2.68,29.11,135
15,BO,105.38192292547924,104.83266353937168,14.094233081725841,4.36,28.46,219
16,BO,89.47926852066767,61.46575372052288,3.6551077077545044,2.94,28.57,148
17,BO,82.79560293357935,65.74859886571414,3.2156630682617884,2.88,28.46,145
18,BO,88.19447711894381,66.12305690259093,3.6026485944021185,2.98,28.24,150
19,BO,112.37519381544767,53.45454083494537,5.328923241965561,3.02,28.57,152
20,BO,94.00542977422838,49.590555336687004,1.682512706490762,2.64,28.35,133
21,BO,84.06380527015504,48.66288715415108,1.6162569705618375,2.56,28.57,129
22,BO,89.49917962463255,48.02843067927746,2.127275820317165,2.66,28.68,134
23,BO,85.03623036727038,51.637078045759864,2.9539603601220303,2.62,28.78,132
24,BO,75.50659574238665,44.45010835562773,2.6984457580255206,2.32,28.24,117
25,BO,98.82584484196937,45.36251869385251,2.233439510416829,2.7,29.0,136
26,BO,85.45667519825359,44.932270714933125,1.5751296247531263,2.46,28.46,124
27,BO,87.77373411159365,46.23782138646001,1.6827950706436423,2.58,28.46,130
28,BO,147.84935634670416,10.37072017074044,6.3534282946378315,2.28,28.24,115
29,BO,122.59245554077128,10.21445928617591,0.28102454052991066,2.0,28.57,101
30,BO,124.86573153446327,16.702406547112787,2.0727384890798444,2.24,28.46,113
